iter	RMSE
0	0.9765648137
1	0.9569260567
2	0.9375720333
3	0.9214929097
4	0.9062971403
5	0.8899721921
6	0.8733148406
7	0.8578696647
8	0.8431020468
9	0.8268207929
10	0.8122618484
11	0.7980353389
12	0.7832356966
13	0.7690131401
14	0.7570351184
15	0.7435645777
16	0.7304520697
17	0.7178191512
18	0.7062027018
19	0.6931662644
20	0.6828481696
21	0.672849834
22	0.6609992902
23	0.651257875
24	0.6401553848
25	0.6300440793
26	0.6210192769
27	0.6118166017
28	0.6018548135
29	0.5924309239
30	0.5837962495
31	0.574493373
32	0.5674211484
33	0.5599615229
34	0.5542021485
35	0.5473748095
36	0.5413257482
37	0.5335250154
38	0.5267338185
39	0.5192681646
40	0.5142859405
41	0.5067359954
42	0.5010682668
43	0.49606409
44	0.4914048203
45	0.4853128531
46	0.4803996078
47	0.4745898388
48	0.4684639383
49	0.4627334225
50	0.4574248281
51	0.4531120931
52	0.4477594627
53	0.4437250987
54	0.4394437604
55	0.4354035041
56	0.43175187
57	0.4270947224
58	0.4228858506
59	0.419488166
60	0.4154932232
61	0.4111512341
62	0.4069178487
63	0.4026568239
64	0.3988693126
65	0.3950697426
66	0.3910389136
67	0.3875902104
68	0.3848256056
69	0.3817723052
70	0.3791220267
71	0.3752363724
72	0.3724106017
73	0.3700515343
74	0.3674679078
75	0.3649800424
76	0.3617252125
77	0.3591043108
78	0.3561298786
79	0.3538929435
80	0.3518890015
81	0.3495577569
82	0.3469683574
83	0.3450598893
84	0.342078448
85	0.3398388674
86	0.3376405496
87	0.3353969785
88	0.3332801008
89	0.3311765682
90	0.3292883314
91	0.3269682298
92	0.3252357617
93	0.3224807055
94	0.3207052709
95	0.3186198053
96	0.3168177458
97	0.3145367001
98	0.312881584
99	0.3114864086
100	0.309927274
101	0.3082219233
102	0.3066036073
103	0.3047868651
104	0.3027765841
105	0.3011994205
106	0.2996252195
107	0.2978091524
108	0.2967018537
109	0.2949037022
110	0.2936770601
111	0.2923956608
112	0.291201446
113	0.2899984735
114	0.2888447775
115	0.2873705954
116	0.2854228431
117	0.2840920003
118	0.2824855834
119	0.2815754863
120	0.2799218868
121	0.2785747202
122	0.2774537715
123	0.2764355645
124	0.2756170764
125	0.2743977136
126	0.2732792795
127	0.2719375393
128	0.2707351266
129	0.2694513611
130	0.2680315673
131	0.2667483986
132	0.2656624329
133	0.2648134571
134	0.2635024923
135	0.26262943
136	0.2611461445
137	0.2599842601
138	0.2590901536
139	0.2582033269
140	0.257166588
141	0.2564352804
142	0.2556584202
143	0.2548050638
144	0.2537447519
145	0.2529702534
146	0.2521426765
147	0.2515457614
148	0.250339033
149	0.24972064
150	0.2490943482
151	0.2484540584
152	0.2474690639
153	0.246587798
154	0.2458125946
155	0.2450649426
156	0.2442964077
157	0.2433802329
158	0.2425903491
159	0.2418632921
160	0.2410310079
161	0.2403956886
162	0.239666708
163	0.2392522651
164	0.2385390485
165	0.2376274446
166	0.2369868768
167	0.2358027651
168	0.2354382014
169	0.2344830803
170	0.2336693632
171	0.2334423886
172	0.2327903455
173	0.2321633998
174	0.2314283796
175	0.2307947174
176	0.2302525148
177	0.2294217891
178	0.228929311
179	0.2280101667
180	0.2272285174
181	0.2264800182
182	0.225775922
183	0.2252926126
184	0.2247963064
185	0.2241020841
186	0.2235847814
187	0.223021965
188	0.2224614706
189	0.2219024898
190	0.2213407209
191	0.2205215594
192	0.2200215444
193	0.2192286304
194	0.2187688415
195	0.2183791331
196	0.2177101312
197	0.2170810557
198	0.2166526317
199	0.2161007039
200	0.215740615
201	0.2150502155
202	0.2144533547
203	0.2138359202
204	0.213134715
205	0.2123578994
206	0.2118039775
207	0.2114023022
208	0.210680776
209	0.209966947
210	0.2095756485
211	0.2088478654
212	0.2083539758
213	0.2078648049
214	0.2072858097
215	0.2067579294
216	0.206243799
217	0.2056514142
218	0.2050521278
219	0.2046559259
220	0.2042380356
221	0.2036749444
222	0.2031532212
223	0.2025391539
224	0.2019634573
225	0.2015801807
226	0.2009917733
227	0.2003741128
228	0.1999479252
229	0.1996155559
230	0.199058447
231	0.1986313859
232	0.198028979
233	0.1977005722
234	0.1969924133
235	0.1964022025
236	0.1959001738
237	0.1956808766
238	0.1952924616
239	0.1948350863
240	0.1941758748
241	0.1938086909
242	0.1933936098
243	0.1926659339
244	0.1922089279
245	0.191901551
