iter	RMSE
0	0.9622571631
1	0.9308283537
2	0.9013863034
3	0.8735818775
4	0.847301489
5	0.8239271313
6	0.8021769764
7	0.7814853655
8	0.7620613779
9	0.743440891
10	0.7272503877
11	0.7122205483
12	0.6977399409
13	0.6839808514
14	0.6727457976
15	0.6619836524
16	0.6526815037
17	0.6425548868
18	0.6339301413
19	0.6242777885
20	0.6170843059
21	0.610592885
22	0.6044809268
23	0.5977407428
24	0.5905961643
25	0.5834905955
26	0.5769620843
27	0.5723533471
28	0.5675584674
29	0.5634179769
30	0.559742353
31	0.5565618691
32	0.553124186
33	0.5502149763
34	0.5457321501
35	0.5417107631
36	0.537174615
37	0.533051771
38	0.5304554103
39	0.5276280631
40	0.5253842647
41	0.5233259978
42	0.5208518744
43	0.5174646951
44	0.5156580703
45	0.5128116519
46	0.5110014409
47	0.5083494466
48	0.5057763517
49	0.5042626034
50	0.5017426059
51	0.500153915
52	0.4979474787
53	0.4970348607
54	0.4943375689
55	0.493077241
56	0.4918675895
57	0.4899397769
58	0.4883584963
59	0.4868604572
60	0.4849167796
61	0.4838134905
62	0.4828894112
63	0.4814093869
64	0.4802735762
65	0.4795860443
66	0.4784417467
67	0.4774334346
68	0.4764621363
69	0.4753978188
70	0.4748803886
71	0.4729883972
72	0.4722771028
73	0.4715949331
74	0.4708593177
75	0.4700244237
76	0.4690390442
77	0.4681559369
78	0.4669850498
79	0.4658094418
80	0.465259637
81	0.4641460391
82	0.4627028923
83	0.4619813796
84	0.4613850189
85	0.4608903136
86	0.4603517313
87	0.4592838365
88	0.4587615648
89	0.4584520569
90	0.4579348702
91	0.4568715923
92	0.4563548952
93	0.4550480696
94	0.4545469625
95	0.4537511779
96	0.4534087249
97	0.4527511453
98	0.4523769226
99	0.4515816145
100	0.4508231124
101	0.4501774438
102	0.4496308906
103	0.4488777791
104	0.4479719856
105	0.4476325388
106	0.4470583533
107	0.4465497227
108	0.4457201385
109	0.4453596516
110	0.4450189141
111	0.4445517444
112	0.4438864146
113	0.4431084344
114	0.4426526748
115	0.4421258684
116	0.4415533547
117	0.4410572526
118	0.4407085424
119	0.4399428108
120	0.4394965312
121	0.4391621845
122	0.4387625944
123	0.4379124792
124	0.4375576221
125	0.4369613828
126	0.4362711676
127	0.4357861985
128	0.4352881371
129	0.4348716684
130	0.4343908482
131	0.4338986324
132	0.4336569797
133	0.433140138
134	0.4323863506
135	0.4318636498
136	0.4313843136
137	0.4311025232
138	0.4304963158
139	0.430154317
140	0.4295582677
141	0.429186205
142	0.4287257958
143	0.4283752046
144	0.4280997996
145	0.4278702922
146	0.4275939967
147	0.4269102792
148	0.426629507
149	0.4262358026
150	0.4257373761
151	0.4253489118
152	0.4244735871
153	0.4240458759
154	0.4236842886
155	0.423303343
156	0.4227972202
157	0.4222695739
158	0.4219548568
159	0.4213818822
160	0.4209578213
161	0.4205603569
162	0.4200933358
163	0.4196381061
164	0.419274081
165	0.4188111772
166	0.4182939641
167	0.4178621423
168	0.4174008966
169	0.4170350193
170	0.4164386426
171	0.4159758666
172	0.4156828062
173	0.4151400714
174	0.4148529049
175	0.4145996268
176	0.41423697
177	0.4137706925
178	0.413319846
179	0.412865863
180	0.4125360412
181	0.4120712673
182	0.4116939387
183	0.4113735234
184	0.4110957093
185	0.4105768662
186	0.4103775302
187	0.4099498343
188	0.4095640721
189	0.40934605
190	0.4088638107
191	0.4084249516
192	0.4080563047
193	0.4077051494
194	0.4074172891
195	0.4069649793
196	0.4066843986
197	0.406211149
198	0.4057664561
199	0.4055147114
200	0.4050831388
201	0.4046611742
202	0.4041177068
203	0.4038691431
204	0.4035660925
205	0.4030834342
206	0.4027209916
207	0.4023823183
208	0.402081693
209	0.4016948183
210	0.4013813406
211	0.4011039757
212	0.400853558
213	0.4003351305
214	0.3999601141
215	0.3996561443
216	0.3994026709
217	0.3990845017
218	0.3988199128
219	0.3985135153
220	0.3983091736
221	0.3980361565
222	0.3978763112
223	0.3975691069
224	0.3972174243
225	0.3969203554
226	0.3966356099
227	0.3961924537
228	0.3958736334
229	0.395585271
230	0.3954421623
231	0.39514306
232	0.3947490692
233	0.3944836396
234	0.3941672219
235	0.3938555455
236	0.3935603413
237	0.393379585
238	0.3930849715
239	0.392761863
240	0.3924397209
241	0.3921531368
242	0.3918614341
243	0.3915824089
244	0.3914099064
245	0.3912335986
246	0.3909751575
247	0.3908462161
248	0.3905711362
249	0.3903721079
250	0.3901722282
251	0.389764443
252	0.3894972414
253	0.389256873
254	0.3889537681
255	0.3887823896
256	0.3884951121
257	0.3882262849
258	0.3879889031
259	0.3876782959
260	0.3873905747
261	0.3872223764
262	0.3869335278
263	0.3867306243
264	0.386557603
265	0.3863644009
266	0.3861114785
267	0.3858629358
268	0.3856924587
269	0.3854854989
270	0.3853438162
271	0.385176082
272	0.3848564853
273	0.3847115957
274	0.3844676432
275	0.3842614445
276	0.3841131963
277	0.3838439548
278	0.3836941054
279	0.3835384793
280	0.3833135234
281	0.3831234186
282	0.3828750516
283	0.3827299192
284	0.3826084479
285	0.3821937734
286	0.381780844
287	0.3814894367
288	0.3812419121
289	0.3809965229
290	0.3807558714
291	0.3805922404
292	0.3803892341
293	0.3801792212
294	0.379915195
295	0.379568654
296	0.379320335
297	0.3791014133
298	0.3788510368
299	0.3786485867
300	0.3785243668
301	0.3782468114
302	0.3779846677
303	0.3778112416
304	0.3776511736
305	0.3773638918
306	0.3771522863
307	0.3768608281
308	0.3766985066
309	0.3765379072
310	0.3763301186
311	0.3761075738
312	0.3758804161
313	0.3757253482
314	0.3754298143
315	0.3751623286
316	0.3749843276
317	0.3748829414
318	0.3746297769
319	0.3744399382
320	0.3743143833
321	0.3739984886
322	0.3738261212
323	0.3735972309
324	0.3733696197
325	0.3731429061
326	0.3730528973
327	0.372799898
328	0.37244136
329	0.3722360606
330	0.3720707574
331	0.3717734734
332	0.3715915936
333	0.37140925
334	0.371139182
335	0.370985964
336	0.3708191769
337	0.3705801864
338	0.3704517958
339	0.3702447595
340	0.3700952173
341	0.369929295
342	0.3697773178
343	0.369665959
344	0.3694970744
345	0.3693751661
346	0.3692080586
347	0.3690202383
348	0.3688524523
349	0.3686935107
350	0.3684783376
351	0.368337888
352	0.368055264
353	0.367919525
354	0.3677199381
355	0.3675663821
356	0.3674200836
357	0.3672105245
358	0.3670053798
359	0.3668649534
360	0.3666645622
361	0.3664085235
362	0.3661055995
363	0.3659002795
364	0.3657675883
365	0.3654176617
366	0.3652152381
367	0.3650656809
368	0.364940186
369	0.3648162785
370	0.3646721376
371	0.3645019832
372	0.3642649598
373	0.3641171273
374	0.3639800663
375	0.3638449128
376	0.3636464639
377	0.3635544267
378	0.3632874075
379	0.3631321645
380	0.3628046412
381	0.3626560487
382	0.3624572975
383	0.362341331
384	0.3622255306
385	0.3620975449
386	0.3618616233
387	0.3616654088
388	0.3615055991
389	0.3612780157
390	0.3611503325
391	0.3610072039
392	0.3608831923
393	0.3607193999
394	0.3606680684
395	0.3604377594
396	0.3602671324
397	0.3600472826
398	0.3598309143
399	0.3596112135
400	0.3594556538
401	0.3593042328
402	0.3591297779
403	0.3589729726
404	0.3588197708
405	0.3586692166
406	0.358550982
407	0.358397401
408	0.3582046603
409	0.3580531823
410	0.3579346819
411	0.3577892511
412	0.3575895985
413	0.3572514756
414	0.3571426187
415	0.357022696
416	0.3568653683
417	0.3567745767
418	0.3565844362
419	0.3564575058
420	0.3563267566
421	0.3561386676
422	0.3560576016
423	0.3559700958
424	0.3558654282
425	0.3556201357
426	0.3554619328
427	0.3553251106
428	0.3552217933
429	0.3550407868
430	0.354937896
431	0.3548227596
432	0.3546511729
433	0.3544918549
434	0.3542922385
435	0.3540901648
436	0.3538112559
437	0.3536285608
438	0.3534175588
439	0.3532944467
440	0.352967082
441	0.3528753839
442	0.3527294033
443	0.3524949618
444	0.3523420842
445	0.3522218625
446	0.3520047236
447	0.3518472614
448	0.3517465848
449	0.3516532645
450	0.3514529021
451	0.3513561585
452	0.3512263365
453	0.3511030501
454	0.35090572
455	0.3507293147
456	0.3506485341
457	0.350491666
458	0.3503057398
459	0.350153661
460	0.3500148247
461	0.3498889204
462	0.3496479061
463	0.3494255509
464	0.3492831553
465	0.349075618
466	0.348977893
467	0.3488096763
468	0.3486764948
469	0.3485963566
470	0.3484019707
471	0.3482669185
472	0.3481909318
473	0.348068679
474	0.3478445972
475	0.3477272194
476	0.3476227127
477	0.3474842147
478	0.3473593671
479	0.3472633504
480	0.3471402548
481	0.3469757393
482	0.3468294767
483	0.3466378044
484	0.3465017108
485	0.3463407638
486	0.3462289507
487	0.3461124114
488	0.3460162251
489	0.3459151842
490	0.3457945674
491	0.3456376691
492	0.3455127076
493	0.3452509528
494	0.345126612
495	0.3449655873
496	0.3448288714
497	0.3447208483
498	0.3446293616
499	0.3444854848
500	0.3443485586
501	0.3442074316
502	0.344054262
503	0.3438262382
504	0.3437113935
505	0.3434893895
506	0.3433487742
507	0.3432039106
508	0.3431283536
509	0.343005825
510	0.3429420009
511	0.342826838
512	0.3426629213
513	0.3425490828
514	0.3423909538
515	0.342263493
516	0.3421424792
517	0.3420094481
518	0.3418697468
519	0.3417596542
520	0.3416197309
521	0.341490771
522	0.3413669377
523	0.3412110734
524	0.3410332496
525	0.3409324683
526	0.340759958
527	0.3406783186
528	0.3405414131
529	0.3404221701
530	0.3403335863
531	0.3402425482
532	0.3400983423
533	0.3399764548
534	0.3398106342
535	0.3396645697
536	0.3395875877
537	0.3394720505
538	0.3392731034
539	0.3391260513
540	0.3390109044
541	0.3388725362
542	0.3388230718
543	0.3386450915
544	0.3384813497
545	0.3383482417
546	0.3382378771
547	0.3381582418
