iter	Passed	Remaining
0	65	65717
1	67	33877
2	69	23230
3	72	17996
4	74	14739
5	75	12584
6	78	11111
7	81	10054
8	83	9226
9	86	8578
10	89	8031
11	91	7549
12	94	7180
13	97	6842
14	99	6541
15	102	6290
16	104	6047
17	107	5863
18	110	5682
19	112	5527
20	115	5373
21	117	5237
22	120	5130
23	123	5007
24	125	4908
25	128	4814
26	131	4722
27	133	4636
28	136	4572
29	139	4494
30	141	4430
31	144	4372
32	147	4317
33	150	4263
34	152	4216
35	155	4163
36	158	4125
37	161	4087
38	168	4156
39	171	4110
40	175	4113
41	179	4089
42	183	4092
43	187	4070
44	191	4070
45	194	4040
46	197	4007
47	201	3994
48	204	3963
49	206	3931
50	209	3901
51	212	3878
52	215	3855
53	218	3826
54	221	3808
55	224	3780
56	226	3753
57	229	3730
58	232	3712
59	236	3698
60	238	3673
61	241	3659
62	244	3642
63	247	3622
64	250	3605
65	253	3582
66	255	3558
67	257	3534
68	260	3514
69	263	3494
70	266	3480
71	268	3463
72	271	3448
73	274	3433
74	277	3416
75	279	3402
76	282	3387
77	285	3374
78	288	3361
79	291	3357
80	294	3345
81	297	3330
82	300	3317
83	303	3304
84	305	3288
85	309	3285
86	312	3275
87	314	3261
88	317	3247
89	319	3232
90	322	3223
91	325	3212
92	328	3204
93	331	3196
94	334	3185
95	336	3172
96	339	3162
97	342	3154
98	346	3154
99	349	3143
100	351	3131
101	354	3119
102	357	3112
103	360	3103
104	362	3094
105	365	3084
106	368	3076
107	371	3069
108	374	3061
109	377	3051
110	380	3043
111	382	3033
112	386	3029
113	388	3022
114	391	3015
115	394	3006
116	397	2998
117	400	2989
118	402	2977
119	404	2968
120	408	2964
121	411	2963
122	415	2960
123	418	2952
124	420	2946
125	423	2940
126	426	2932
127	429	2926
128	432	2920
129	435	2913
130	438	2907
131	440	2899
132	443	2893
133	446	2886
134	449	2882
135	452	2875
136	455	2871
137	458	2866
138	461	2859
139	463	2849
140	466	2841
141	469	2835
142	472	2831
143	475	2825
144	478	2820
145	481	2813
146	483	2807
147	486	2802
148	489	2792
149	491	2787
150	495	2783
151	497	2776
152	500	2769
153	503	2764
154	506	2759
155	508	2751
156	511	2745
157	513	2738
158	516	2731
159	518	2723
160	521	2718
161	524	2713
162	527	2709
163	530	2703
164	533	2698
165	535	2690
166	538	2684
167	540	2677
168	543	2672
169	546	2666
170	549	2661
171	552	2658
172	555	2655
173	558	2650
174	560	2644
175	563	2640
176	567	2638
177	570	2633
178	573	2629
179	575	2622
180	578	2618
181	581	2613
182	584	2608
183	587	2603
184	589	2598
185	593	2595
186	595	2589
187	598	2582
188	601	2579
189	604	2575
190	606	2570
191	609	2564
192	611	2557
193	614	2552
194	616	2546
195	619	2543
196	622	2537
197	625	2533
198	627	2527
199	630	2521
200	633	2516
201	635	2511
202	639	2509
203	641	2504
204	644	2499
205	648	2499
206	650	2493
207	653	2488
208	656	2483
209	658	2477
210	661	2472
211	663	2467
212	666	2463
213	669	2458
214	671	2453
215	674	2448
216	677	2445
217	681	2443
218	683	2438
219	686	2433
220	689	2429
221	691	2423
222	694	2419
223	697	2417
224	700	2412
225	702	2407
226	705	2404
227	708	2399
228	712	2398
229	714	2392
230	717	2388
231	720	2384
232	722	2379
233	725	2375
234	727	2368
235	730	2366
