iter	Passed	Remaining
0	69	69271
1	70	34950
2	70	23476
3	71	17732
4	71	14298
5	72	11997
6	73	10357
7	73	9125
8	74	8158
9	74	7382
10	75	6747
11	75	6233
12	76	5788
13	76	5405
14	77	5074
15	77	4781
16	78	4526
17	78	4302
18	79	4101
19	79	3916
20	80	3745
21	80	3592
22	81	3453
23	81	3328
24	82	3208
25	82	3101
26	83	3000
27	83	2905
28	84	2822
29	84	2739
30	85	2667
31	85	2594
32	86	2527
33	86	2464
34	87	2401
35	87	2343
36	87	2288
37	88	2236
38	88	2188
39	89	2144
40	89	2100
41	90	2058
42	90	2021
43	91	1984
44	91	1948
45	92	1913
46	92	1879
47	93	1847
48	93	1816
49	94	1786
50	94	1756
51	94	1728
52	95	1703
53	95	1677
54	96	1652
55	96	1629
56	97	1605
57	97	1583
58	97	1562
59	98	1541
60	98	1520
61	99	1500
62	99	1481
63	100	1462
64	100	1444
65	100	1426
66	101	1409
67	101	1392
68	102	1377
69	102	1361
70	102	1346
71	103	1332
72	103	1317
73	104	1304
74	104	1291
75	105	1280
76	105	1266
77	106	1253
78	106	1241
79	106	1229
80	107	1218
81	107	1207
82	108	1195
83	108	1188
84	109	1177
85	109	1166
86	110	1155
87	110	1146
88	111	1137
89	111	1127
90	111	1118
91	112	1109
92	112	1099
93	113	1090
94	113	1082
95	114	1074
96	114	1066
97	115	1059
98	115	1051
99	115	1042
100	116	1034
101	116	1027
102	117	1019
103	117	1011
104	117	1004
105	118	997
106	118	990
107	119	983
108	119	977
109	120	972
110	120	966
111	121	961
112	121	956
113	122	950
114	122	945
115	123	940
116	123	934
117	124	928
118	124	922
119	125	917
120	125	911
121	126	906
122	126	901
123	126	896
124	127	891
125	127	887
126	128	882
127	128	878
128	129	874
129	129	869
130	130	864
131	130	859
132	131	854
133	131	850
134	131	845
135	132	841
136	132	836
137	133	832
138	133	827
139	134	824
140	134	820
141	135	815
142	135	811
143	135	807
144	136	804
145	136	800
146	137	796
147	137	792
148	138	789
149	138	786
150	139	782
151	139	779
152	140	775
153	140	772
154	140	768
155	141	764
156	141	760
157	142	757
158	142	754
159	143	751
160	143	748
161	144	745
162	144	742
163	145	739
164	145	736
165	145	733
166	146	729
167	146	727
168	147	723
169	147	721
170	148	718
171	148	715
172	149	713
173	149	710
174	150	708
175	150	705
176	151	702
177	151	699
178	151	697
179	152	694
180	152	691
181	153	688
182	153	686
183	154	684
184	154	681
185	155	678
186	155	675
187	155	672
188	156	670
189	156	667
190	157	665
191	157	662
192	158	660
193	158	658
194	158	655
195	159	653
196	159	651
197	160	649
198	160	646
199	161	644
200	161	641
201	161	639
202	162	637
203	162	635
204	163	633
205	163	631
206	164	629
207	164	627
208	165	625
209	165	623
210	166	620
211	166	619
212	167	617
213	167	615
214	168	614
215	168	612
216	169	610
217	169	608
218	170	607
219	170	605
220	171	604
221	172	602
222	172	601
223	173	599
224	173	597
225	173	595
226	174	593
227	175	592
228	175	591
229	176	589
230	176	587
231	177	586
232	177	584
233	177	582
234	178	580
235	178	578
236	179	576
237	179	574
238	180	573
239	180	571
240	180	569
241	181	568
242	181	566
243	182	565
244	182	563
245	183	561
246	183	559
247	184	558
248	184	556
249	184	554
250	185	552
251	185	551
252	186	550
253	186	548
254	187	547
255	188	546
256	188	545
257	188	543
258	189	541
259	189	539
260	190	538
261	190	536
262	191	535
263	191	534
264	192	533
265	192	531
266	193	530
267	193	528
268	194	527
269	194	526
270	195	524
271	195	523
272	196	522
273	196	521
274	197	519
275	197	518
276	198	516
277	198	515
278	198	513
279	199	512
280	199	511
281	200	509
282	200	508
283	201	506
284	201	505
285	202	504
286	202	503
287	203	502
288	203	500
289	203	499
290	204	497
291	204	496
292	205	495
293	205	494
294	206	493
295	206	492
296	207	490
297	207	489
298	208	488
299	208	487
300	209	485
301	209	484
302	210	483
303	210	482
304	211	481
305	211	480
306	212	478
307	212	477
308	213	476
309	213	475
310	213	473
311	214	472
312	214	471
313	215	470
314	215	469
315	216	468
316	217	468
317	218	467
318	218	466
319	219	465
320	219	464
321	219	463
322	220	462
323	220	461
324	221	459
325	221	458
326	222	457
327	222	456
328	222	454
329	223	453
330	223	452
331	224	451
332	224	449
333	224	448
334	225	447
335	225	446
336	226	445
337	226	444
338	227	443
339	227	442
340	228	441
341	228	439
342	229	438
343	229	437
344	229	436
345	230	435
346	230	434
347	231	433
348	231	432
349	232	431
350	232	430
351	233	429
352	233	428
353	234	427
354	234	426
355	234	424
356	235	424
357	235	422
358	236	421
359	236	420
360	237	419
361	237	419
362	238	417
363	238	416
364	239	415
365	239	414
366	240	414
367	240	413
368	241	412
369	241	411
370	242	410
371	242	409
372	243	408
373	243	407
374	244	406
375	244	405
376	244	404
377	245	403
378	245	402
379	246	401
380	246	400
381	247	399
382	247	399
383	248	398
384	248	397
385	249	396
386	249	395
387	250	394
388	250	393
389	251	392
390	251	392
391	252	391
392	252	390
393	253	389
394	253	388
395	253	387
396	254	386
397	254	385
398	255	384
399	255	383
400	256	382
401	256	381
402	256	380
403	257	379
404	258	379
405	258	378
406	259	377
407	259	376
408	259	375
409	260	374
410	260	373
411	261	372
412	261	371
413	262	371
414	262	370
415	263	369
416	263	368
417	263	367
418	264	366
419	264	365
420	265	364
421	265	364
422	266	363
423	266	362
424	267	361
425	267	360
426	268	359
427	268	359
428	269	358
429	269	357
430	270	356
431	270	355
432	270	354
433	271	353
434	271	352
435	272	351
436	272	350
437	273	350
438	273	349
439	273	348
440	274	347
441	274	346
442	275	346
443	275	345
444	276	344
445	276	343
446	277	342
447	277	341
448	277	341
449	278	340
450	278	339
451	279	338
452	279	337
453	280	336
454	280	335
455	280	334
456	281	334
457	281	333
458	282	332
459	282	331
460	283	331
461	283	330
462	284	329
463	284	328
464	284	327
465	285	326
466	285	325
467	286	325
468	286	324
469	287	323
470	287	322
471	288	322
472	288	321
473	288	320
474	289	319
475	289	319
476	290	318
477	290	317
478	291	317
479	292	316
480	292	315
481	293	315
482	293	314
483	294	313
484	294	312
485	294	311
486	295	311
487	295	310
488	296	309
489	296	308
490	297	308
491	297	307
492	298	306
493	298	306
494	299	305
495	299	304
496	300	303
497	300	303
498	301	302
499	301	301
500	301	300
501	302	300
502	302	299
503	303	298
504	303	297
505	304	297
506	304	296
507	305	295
508	305	294
509	306	294
510	306	293
511	307	292
512	307	291
513	307	291
514	308	290
515	308	289
516	309	289
517	309	288
518	310	287
519	310	286
520	311	286
521	311	285
522	312	284
523	312	284
524	313	283
525	313	282
526	313	281
527	314	280
528	314	280
529	315	279
530	315	279
531	316	278
532	316	277
533	317	276
534	317	276
535	318	275
536	318	274
537	319	274
538	319	273
539	320	272
540	320	272
541	321	271
542	321	270
543	321	269
544	322	269
545	322	268
546	323	267
547	323	267
548	324	266
549	325	265
550	325	265
551	325	264
552	326	263
553	327	263
554	327	262
555	328	262
556	328	261
557	329	260
558	329	259
559	329	259
560	330	258
561	330	257
562	331	257
563	332	256
564	332	256
565	332	255
566	333	254
567	334	254
568	334	253
569	335	252
570	335	252
571	336	251
572	336	250
573	336	250
574	337	249
575	337	248
576	338	248
577	338	247
578	339	246
579	339	246
580	340	245
581	340	244
582	341	243
583	341	243
584	342	242
585	342	242
586	343	241
587	343	240
588	344	240
589	344	239
590	345	238
591	345	238
592	346	237
593	346	236
594	346	236
595	347	235
596	348	234
597	348	234
598	348	233
599	349	233
600	350	232
601	350	231
602	351	231
603	351	230
604	352	229
605	352	229
606	353	228
607	353	228
608	354	227
609	354	226
610	355	226
611	355	225
612	356	224
613	356	224
614	357	223
615	357	222
616	358	222
617	358	221
618	359	221
619	359	220
620	360	219
621	360	219
622	361	218
623	361	217
624	362	217
625	362	216
626	363	216
627	363	215
628	363	214
629	364	214
630	364	213
631	365	212
632	365	212
633	366	211
634	366	210
635	366	210
636	367	209
637	367	208
638	368	208
639	368	207
640	369	206
641	369	206
642	370	205
643	371	205
644	371	204
645	372	203
646	372	203
647	373	202
648	373	202
649	374	201
650	374	200
651	375	200
652	375	199
653	376	198
654	376	198
655	377	197
656	377	197
657	378	196
658	378	195
659	379	195
660	379	194
661	380	194
662	380	193
663	380	192
664	381	192
665	381	191
666	382	190
667	382	190
668	383	189
669	383	189
670	384	188
671	384	187
672	385	187
673	385	186
674	385	185
675	386	185
676	386	184
677	387	184
678	388	183
679	388	182
680	388	182
681	389	181
682	389	181
683	390	180
684	391	179
685	391	179
686	392	178
687	392	177
688	392	177
689	393	176
690	393	176
691	394	175
692	394	174
693	395	174
694	395	173
695	396	173
696	396	172
697	397	171
698	397	171
699	397	170
700	398	169
701	398	169
702	399	168
703	399	167
704	399	167
705	400	166
706	400	166
707	401	165
708	401	164
709	402	164
710	403	163
711	403	163
712	403	162
713	404	161
714	404	161
715	405	160
716	405	160
717	406	159
718	406	158
719	407	158
720	407	157
721	408	157
722	408	156
723	409	155
724	409	155
725	410	154
726	410	154
727	411	153
728	411	153
729	412	152
730	412	151
731	413	151
732	413	150
733	414	150
734	414	149
735	415	148
736	415	148
737	416	147
738	416	147
739	417	146
740	417	145
741	418	145
742	418	144
743	419	144
744	419	143
745	420	143
746	420	142
747	421	141
748	421	141
749	422	140
750	422	140
751	423	139
752	423	138
753	424	138
754	424	137
755	425	137
756	425	136
757	426	136
758	426	135
759	427	134
760	427	134
761	428	133
762	428	133
763	428	132
764	429	131
765	429	131
766	430	130
767	430	130
768	430	129
769	431	128
770	431	128
771	432	127
772	432	127
773	433	126
774	433	125
775	433	125
776	434	124
777	434	124
778	434	123
779	435	122
780	436	122
781	437	121
782	437	121
783	437	120
784	438	120
785	438	119
786	439	118
787	439	118
788	440	117
789	440	117
790	440	116
791	441	115
792	441	115
793	442	114
794	442	114
795	443	113
796	443	113
797	444	112
798	444	111
799	445	111
800	445	110
801	446	110
802	446	109
803	447	109
804	447	108
805	448	107
806	449	107
807	449	106
808	449	106
809	450	105
810	450	105
811	451	104
812	451	103
813	452	103
814	452	102
815	453	102
816	453	101
817	454	101
818	454	100
819	455	99
820	455	99
821	455	98
822	456	98
823	456	97
824	457	97
825	457	96
826	458	95
827	458	95
828	459	94
829	459	94
830	459	93
831	460	92
832	460	92
833	461	91
834	461	91
835	462	90
836	462	90
837	463	89
838	463	89
839	464	88
840	464	87
841	465	87
842	465	86
843	465	86
844	466	85
845	466	84
846	467	84
847	467	83
848	468	83
849	468	82
850	469	82
