iter	Passed	Remaining
0	57	56945
1	57	28711
2	57	19270
3	58	14560
4	58	11700
5	59	9817
6	59	8456
7	60	7456
8	60	6666
9	60	6037
10	61	5522
11	61	5096
12	62	4728
13	62	4419
14	63	4153
15	63	3918
16	64	3724
17	64	3537
18	65	3367
19	65	3214
20	66	3080
21	66	2952
22	66	2840
23	67	2737
24	67	2639
25	68	2557
26	68	2474
27	69	2403
28	70	2357
29	70	2291
30	71	2231
31	71	2169
32	72	2116
33	72	2063
34	73	2013
35	73	1969
36	73	1925
37	74	1883
38	74	1846
39	75	1812
40	75	1776
41	76	1744
42	76	1712
43	77	1679
44	77	1649
45	78	1624
46	78	1597
47	79	1571
48	79	1543
49	79	1519
50	80	1495
51	80	1473
52	81	1450
53	81	1427
54	81	1406
55	82	1386
56	82	1365
57	82	1346
58	83	1327
59	83	1310
60	84	1296
61	84	1280
62	85	1266
63	85	1251
64	86	1237
65	86	1224
66	86	1209
67	87	1195
68	87	1182
69	88	1169
70	88	1155
71	88	1142
72	89	1131
73	89	1120
74	89	1109
75	90	1098
76	90	1089
77	91	1080
78	91	1069
79	92	1059
80	92	1048
81	92	1038
82	93	1029
83	93	1020
84	93	1011
85	94	1002
86	94	992
87	94	984
88	95	976
89	95	968
90	96	961
91	96	953
92	97	946
93	97	937
94	97	931
95	98	925
96	98	918
97	99	912
98	99	904
99	99	897
100	100	891
101	100	885
102	101	879
103	101	875
104	102	870
105	102	864
106	102	858
107	103	853
108	103	847
109	104	841
110	104	836
111	104	831
112	105	826
113	105	820
114	106	816
115	106	810
116	106	806
117	107	801
118	107	797
119	108	792
120	108	786
121	108	782
122	109	778
123	109	774
124	110	770
125	110	766
126	111	763
127	111	759
128	111	755
129	112	751
130	112	747
131	113	743
132	113	740
133	114	737
134	114	734
135	115	731
136	115	727
137	115	724
138	116	720
139	116	717
140	117	714
141	117	711
142	118	708
143	118	705
144	119	702
145	119	699
146	120	696
147	120	693
148	120	690
149	121	687
150	121	684
151	122	681
152	122	678
153	123	676
154	123	673
155	123	670
156	124	668
157	124	665
158	125	662
159	125	660
160	126	658
161	126	655
162	127	652
163	127	649
164	127	646
165	128	644
166	128	641
167	128	638
168	129	635
169	129	633
170	130	630
171	130	628
172	130	625
173	131	623
174	131	621
175	132	618
176	132	616
177	132	613
178	133	612
179	133	610
180	134	607
181	134	605
182	135	603
183	135	600
184	136	599
185	136	596
186	136	594
187	137	592
188	137	591
189	138	589
190	138	587
191	139	585
192	139	583
193	139	581
194	140	579
195	140	577
196	141	575
197	141	574
198	142	572
199	142	570
200	142	568
201	143	566
202	143	564
203	144	562
204	144	561
205	145	559
206	145	557
207	145	555
208	146	553
209	146	551
210	147	550
211	147	548
212	148	547
213	148	545
214	148	543
215	149	543
216	150	541
217	150	540
218	151	538
219	151	536
220	151	535
221	152	533
222	152	532
223	153	530
224	153	528
225	153	527
226	154	525
227	154	524
228	155	522
229	155	520
230	155	519
231	156	517
232	156	516
233	157	515
234	157	513
235	158	512
236	158	510
237	159	509
238	159	507
239	159	506
240	160	505
241	160	503
242	161	501
243	161	499
244	161	498
245	162	497
246	163	497
247	163	496
248	164	495
249	164	493
250	164	492
251	165	490
252	165	489
253	166	488
254	166	486
255	166	484
256	167	483
257	167	481
258	167	479
259	168	478
260	168	477
261	168	475
262	169	474
263	169	473
264	170	471
265	170	470
266	171	469
267	171	468
268	171	467
269	172	465
270	172	464
271	173	463
272	173	462
273	174	461
274	174	460
275	174	459
276	175	458
277	175	456
278	176	455
279	176	454
280	177	453
281	177	453
282	178	451
283	178	450
284	179	449
285	179	448
286	180	447
287	180	446
288	180	445
289	181	444
290	181	443
291	182	442
292	182	440
293	183	439
294	183	438
295	184	437
296	184	436
297	185	435
298	185	435
299	186	434
300	186	432
301	186	431
302	187	431
303	187	429
