iter	Passed	Remaining
0	55	55099
1	55	27875
2	56	18772
3	57	14194
4	57	11475
5	58	9660
6	58	8366
7	59	7398
8	60	6644
9	60	6038
10	61	5537
11	62	5121
12	62	4769
13	63	4474
14	64	4216
15	64	3977
16	65	3780
17	65	3592
18	67	3462
19	67	3317
20	68	3181
21	68	3058
22	69	2945
23	69	2843
24	70	2758
25	71	2682
26	72	2606
27	72	2530
28	73	2460
29	74	2400
30	74	2339
31	75	2284
32	76	2230
33	76	2177
34	77	2129
35	77	2075
36	78	2032
37	78	1990
38	79	1951
39	79	1912
40	80	1876
41	80	1841
42	81	1808
43	81	1776
44	82	1746
45	82	1717
46	83	1686
47	83	1660
48	84	1636
49	84	1612
50	85	1590
51	86	1568
52	86	1546
53	87	1527
54	87	1507
55	88	1488
56	88	1470
57	89	1451
58	89	1435
59	90	1418
60	91	1402
61	91	1387
62	92	1371
63	92	1357
64	93	1342
65	93	1327
66	94	1312
67	94	1298
68	95	1285
69	95	1272
70	96	1259
71	96	1247
72	97	1233
73	97	1220
74	98	1208
75	98	1197
76	98	1185
77	99	1175
78	99	1164
79	100	1153
80	100	1142
81	101	1132
82	101	1122
83	101	1110
84	102	1100
85	102	1091
86	103	1082
87	103	1074
88	104	1066
89	104	1058
90	105	1050
91	105	1043
92	106	1035
93	106	1028
94	107	1021
95	107	1013
96	108	1006
97	108	999
98	109	993
99	109	986
100	110	979
101	110	973
102	111	967
103	111	961
104	112	955
105	112	949
106	113	944
107	113	939
108	114	934
109	114	929
110	115	924
111	115	919
112	116	914
113	116	908
114	117	907
115	118	902
116	118	897
117	119	893
118	120	889
119	120	885
120	121	880
121	121	876
122	122	872
123	122	867
124	123	863
125	123	859
126	124	855
127	124	851
128	125	847
129	125	843
130	126	839
131	126	835
132	127	830
133	127	826
134	128	822
135	128	817
136	129	813
137	129	809
138	130	805
139	130	802
140	131	798
141	131	795
142	132	791
143	132	788
144	133	787
145	134	787
146	136	789
147	137	791
148	138	789
149	139	787
150	139	786
151	140	785
152	141	782
153	142	780
154	142	777
155	143	775
156	143	772
157	144	770
158	145	767
159	145	764
160	146	761
161	146	758
162	147	756
163	147	753
164	148	750
165	148	748
166	149	745
167	149	742
168	150	740
169	151	737
170	151	735
171	152	732
172	152	730
173	153	727
174	155	731
175	156	731
176	157	730
177	157	728
178	158	725
179	158	723
180	159	721
181	160	719
182	160	717
183	161	715
184	161	713
185	162	711
186	163	709
187	163	707
188	164	704
189	164	702
190	165	700
191	165	697
192	166	695
193	166	693
194	167	691
195	168	689
196	168	687
197	169	684
198	169	682
199	170	680
200	170	678
201	171	676
202	171	674
203	172	671
204	172	669
205	173	667
206	173	665
207	174	663
208	174	662
209	175	659
210	175	657
211	176	656
212	176	653
213	177	652
214	178	650
215	178	648
216	179	647
217	180	646
218	180	644
219	181	642
220	181	640
221	182	638
222	183	638
223	183	637
224	184	635
225	184	632
226	185	631
227	185	629
228	186	628
229	187	626
230	187	625
231	188	624
232	189	622
233	189	621
234	190	619
235	190	618
236	191	616
237	192	615
238	192	613
239	193	611
240	193	610
241	194	608
242	194	607
243	195	605
244	195	603
245	196	601
246	196	600
247	198	600
248	199	602
249	200	600
250	200	599
251	201	597
252	201	596
253	202	594
254	203	593
255	203	592
256	204	590
257	204	589
258	205	587
259	205	585
260	206	584
261	206	582
262	207	581
263	208	580
264	208	578
265	209	577
266	210	576
267	210	576
268	211	575
269	212	574
270	213	573
271	213	572
272	214	571
273	215	570
274	215	569
275	216	568
276	217	566
277	218	566
278	218	565
279	219	564
280	220	563
281	220	561
282	221	560
283	221	559
284	222	557
285	222	556
286	223	555
287	224	554
288	224	553
289	225	551
290	226	551
291	226	549
292	227	548
293	228	547
294	228	546
295	230	548
296	231	547
297	232	547
298	233	548
299	235	548
300	235	547
