iter	RMSE
0	0.9891456968
1	0.9665713146
2	0.9452824831
3	0.9284039177
4	0.9075983945
5	0.8895556353
6	0.8709989845
7	0.8543332804
8	0.8385456711
9	0.8216392941
10	0.8087687051
11	0.7923993585
12	0.7768106974
13	0.7611570031
14	0.7470750574
15	0.7313659635
16	0.7174018518
17	0.7038044044
18	0.6911385161
19	0.678952076
20	0.6677036719
21	0.6567204728
22	0.6460219403
23	0.6367464127
24	0.625782797
25	0.6149855192
26	0.6065574528
27	0.5969285238
28	0.5865060903
29	0.5771337042
30	0.5674431853
31	0.5592157248
32	0.5522570699
33	0.5450359385
34	0.5375084739
35	0.5304766061
36	0.5245236321
37	0.5174301238
38	0.5099370835
39	0.5022779621
40	0.4955296828
41	0.4892728526
42	0.4843057215
43	0.4782449218
44	0.4725560921
45	0.4678381568
46	0.4629121654
47	0.4566622959
48	0.451214797
49	0.4464336018
50	0.4415398703
51	0.4367632692
52	0.4317623381
53	0.4285784073
54	0.4241979463
55	0.4199077421
56	0.4160709002
57	0.4123878956
58	0.4091959027
59	0.4052753461
60	0.4017601566
61	0.3972008994
62	0.3943992261
63	0.3911208537
64	0.3882305911
65	0.3846593703
66	0.3810901725
67	0.3775219069
68	0.3748070922
69	0.3717801969
70	0.3693180798
71	0.3672926803
72	0.3648216972
73	0.3619159181
74	0.3588279451
75	0.3567253302
76	0.3534240244
77	0.3508068284
78	0.3485259083
79	0.3463643219
80	0.3444140046
81	0.3415464109
82	0.3396651513
83	0.3374100337
84	0.3356613959
85	0.333109005
86	0.3311105908
87	0.3289106634
88	0.3265103944
89	0.3243449152
90	0.3215809079
91	0.3196994987
92	0.3184233
93	0.316513065
94	0.3145994365
95	0.3135217574
96	0.3120040958
97	0.3100335489
98	0.3087216732
99	0.30706467
100	0.3059138731
101	0.3043100911
102	0.3028724014
103	0.3014475041
104	0.3001908432
105	0.2983033162
106	0.2968129919
107	0.2948355372
108	0.2935697803
109	0.2921042766
110	0.2906527914
111	0.2894143912
112	0.2876064793
113	0.2865503213
114	0.2852882845
115	0.2837033407
116	0.2825815358
117	0.2811215105
118	0.2800334237
119	0.2792070685
120	0.2777032751
121	0.2769584052
122	0.2758977314
123	0.2751021587
124	0.2740574205
125	0.2726272061
126	0.2714071026
127	0.270617192
128	0.269433515
129	0.2684150191
130	0.2673624338
131	0.2661921302
132	0.2652363862
133	0.2644620689
134	0.2632071611
135	0.2622608331
136	0.261293848
137	0.2600828869
138	0.2590119864
139	0.2580668792
140	0.2572986895
141	0.2562432398
142	0.2552559048
143	0.2540939845
144	0.2532163345
