iter	Passed	Remaining
0	157	157732
1	160	79867
2	162	53846
3	164	40840
4	165	33017
5	167	27812
6	169	24085
7	171	21290
8	173	19131
9	175	17405
10	177	15975
11	179	14810
12	181	13811
13	183	12934
14	185	12182
15	187	11519
16	189	10941
17	190	10414
18	192	9958
19	194	9548
20	196	9171
21	198	8836
22	200	8517
23	202	8226
24	204	7960
25	205	7715
26	207	7491
27	209	7276
28	211	7076
29	213	6887
30	215	6738
31	217	6577
32	219	6422
33	220	6278
34	222	6141
35	224	6015
36	226	5895
37	228	5778
38	230	5670
39	232	5568
40	233	5471
41	235	5375
42	237	5282
43	239	5194
44	240	5112
45	242	5034
46	244	4957
47	246	4884
48	247	4812
49	249	4744
50	251	4676
51	253	4615
52	254	4554
53	256	4498
54	258	4444
55	260	4395
56	262	4350
57	265	4304
58	267	4260
59	269	4215
60	270	4171
61	272	4129
62	274	4087
63	276	4047
64	278	4010
65	280	3973
66	282	3938
67	284	3903
68	286	3868
69	288	3834
70	290	3804
71	292	3775
72	294	3742
73	296	3713
74	299	3688
75	300	3658
76	302	3626
77	304	3598
78	306	3570
79	308	3543
80	310	3519
81	312	3494
82	314	3470
83	315	3445
84	317	3421
85	319	3395
86	321	3375
87	323	3353
88	325	3330
89	327	3307
90	329	3287
91	331	3266
92	332	3244
93	334	3223
94	336	3204
95	338	3183
96	339	3162
97	341	3142
98	343	3123
99	344	3104
100	346	3083
101	347	3063
102	349	3048
103	351	3029
104	353	3010
105	354	2992
106	356	2975
107	358	2957
108	359	2940
109	361	2922
110	362	2905
111	364	2887
112	365	2870
113	367	2853
114	368	2837
115	370	2820
116	371	2804
117	373	2788
118	374	2775
119	376	2760
120	377	2745
121	379	2730
122	380	2715
123	382	2701
124	383	2686
125	385	2672
126	386	2659
127	388	2646
128	390	2635
129	392	2623
130	393	2610
131	395	2598
132	396	2585
133	398	2572
134	399	2559
135	401	2548
136	402	2537
137	404	2526
138	406	2516
139	407	2505
140	409	2495
141	411	2485
142	413	2475
143	414	2464
144	416	2456
145	418	2445
146	419	2435
147	421	2424
148	422	2414
149	424	2404
150	425	2393
151	427	2383
152	428	2373
153	430	2363
154	431	2354
155	433	2344
156	434	2334
157	436	2325
158	437	2316
159	439	2307
160	440	2297
161	442	2288
162	443	2279
163	445	2270
164	446	2261
165	448	2252
166	449	2244
167	451	2235
168	452	2227
169	454	2218
170	455	2209
171	457	2202
172	459	2194
173	460	2186
174	462	2178
175	463	2170
176	465	2162
177	466	2155
178	468	2147
179	469	2139
180	471	2132
181	472	2124
182	474	2117
