iter	Passed	Remaining
0	57	57318
1	57	28925
2	58	19421
3	58	14683
4	59	11835
5	59	9925
6	60	8589
7	61	7583
8	61	6792
9	62	6153
10	62	5628
11	63	5198
12	63	4820
13	63	4506
14	64	4229
15	64	3990
16	65	3777
17	65	3590
18	66	3422
19	66	3272
20	67	3130
21	67	3005
22	68	2891
23	68	2785
24	69	2691
25	69	2602
26	70	2523
27	70	2445
28	70	2371
29	71	2304
30	71	2240
31	72	2178
32	72	2119
33	72	2069
34	73	2019
35	73	1976
36	74	1933
37	74	1893
38	75	1856
39	75	1822
40	76	1786
41	76	1755
42	77	1722
43	77	1690
44	78	1660
45	78	1632
46	79	1606
47	79	1581
48	80	1554
49	80	1529
50	80	1503
51	81	1481
52	81	1461
53	82	1439
54	83	1430
55	83	1411
56	84	1394
57	84	1374
58	85	1356
59	85	1340
60	86	1325
61	86	1310
62	87	1295
63	87	1279
64	87	1264
65	88	1250
66	88	1236
67	89	1224
68	90	1214
69	90	1201
70	90	1190
71	91	1178
72	91	1165
73	92	1153
74	92	1144
75	93	1134
76	93	1123
77	94	1115
78	94	1105
79	95	1095
80	96	1091
81	96	1083
82	97	1075
83	97	1067
84	98	1058
85	98	1049
86	99	1042
87	99	1034
88	100	1027
89	100	1018
90	101	1011
91	101	1004
92	102	998
93	102	991
94	103	985
95	104	980
96	104	974
97	105	966
98	105	960
99	105	953
100	106	947
101	106	941
102	107	935
103	107	930
104	108	925
105	109	920
106	109	915
107	110	910
108	110	904
109	110	898
110	111	893
111	112	888
112	112	883
113	113	878
114	113	873
115	113	868
116	114	864
117	115	859
118	115	855
119	116	850
120	116	847
121	117	843
122	117	839
123	118	834
124	118	830
125	119	827
126	119	823
127	120	820
128	121	817
129	121	812
130	121	808
131	122	805
132	122	801
133	123	796
134	123	792
135	124	788
136	124	785
137	125	782
138	125	777
139	125	773
140	126	770
141	126	766
142	127	763
143	127	760
144	128	757
145	128	753
146	129	749
147	129	746
148	130	742
149	130	740
150	131	737
151	131	734
152	132	730
153	132	728
154	133	725
155	133	721
156	133	718
157	134	715
158	134	713
159	135	710
160	135	707
161	136	704
162	136	702
163	137	703
164	138	701
165	139	698
166	139	696
167	140	694
168	140	693
169	141	690
170	141	687
171	142	684
172	142	682
173	143	679
174	143	676
175	144	674
176	144	671
177	145	670
178	145	667
179	146	665
180	146	662
181	146	660
182	147	658
183	147	655
184	148	653
185	148	651
186	149	648
187	149	646
188	150	643
189	150	641
190	150	638
191	151	636
192	151	634
193	152	632
194	152	630
195	153	627
196	153	625
197	153	623
198	154	621
199	155	620
200	155	618
201	156	616
202	156	613
203	156	612
204	157	609
205	157	608
206	158	606
207	158	604
208	159	602
209	159	600
210	160	598
211	160	596
212	160	594
213	161	592
214	161	590
215	162	588
216	162	586
217	162	584
218	163	582
219	164	581
220	164	579
221	164	577
222	165	576
223	165	574
224	166	572
225	166	570
226	166	568
227	167	566
228	167	564
229	168	563
230	168	561
231	168	559
232	169	557
233	169	556
234	170	554
235	170	552
236	171	551
237	171	549
238	172	548
239	172	547
240	173	546
241	173	544
242	174	543
243	174	542
244	175	540
245	175	539
246	176	537
247	177	536
248	177	535
249	177	533
250	178	532
251	178	530
252	179	528
253	179	527
254	179	525
255	180	524
256	180	522
257	181	521
258	181	520
259	182	518
260	182	516
261	183	516
262	183	514
263	184	513
264	184	512
265	185	511
266	185	510
267	186	509
268	187	508
269	187	507
270	188	506
271	188	504
272	189	503
273	189	502
274	189	500
275	190	499
276	190	497
277	191	496
278	191	495
279	192	494
280	192	493
281	193	492
282	193	490
283	194	489
284	194	488
285	195	487
286	195	486
287	196	485
288	196	484
289	197	482
290	197	481
291	197	479
292	198	478
293	198	477
294	199	476
295	199	474
296	200	473
297	200	472
298	200	471
299	201	470
300	202	469
301	202	468
302	203	467
303	203	465
304	203	464
305	204	463
306	204	461
307	205	460
308	205	459
309	205	458
310	206	457
311	206	456
312	207	454
313	207	453
314	208	452
315	208	451
316	209	450
317	209	449
318	209	448
319	210	447
320	210	445
321	211	444
322	211	443
323	212	442
324	212	441
325	212	440
326	213	439
327	214	438
328	214	437
329	215	436
330	215	435
331	215	434
332	216	433
333	216	432
334	217	431
335	217	430
336	218	429
337	218	428
338	219	427
339	219	426
340	220	425
341	220	424
342	221	423
343	221	422
344	222	421
345	222	420
346	222	419
347	223	418
348	223	417
349	224	416
350	224	415
351	225	415
352	226	414
353	226	413
354	227	412
355	227	412
356	228	411
357	228	410
358	229	409
359	230	408
360	230	408
361	230	407
362	231	405
363	231	404
364	232	403
365	232	402
366	233	401
367	233	400
368	233	400
369	234	399
370	234	398
371	235	397
372	235	396
373	236	395
374	236	394
375	237	393
376	237	392
377	237	391
378	238	390
379	238	389
380	239	388
381	240	388
382	240	387
383	241	386
384	241	385
385	241	384
386	242	383
387	242	382
388	243	381
389	243	380
390	243	379
391	244	378
392	244	377
393	244	376
394	245	375
395	245	374
396	246	373
397	246	373
398	247	372
399	247	371
400	248	370
401	248	369
402	249	368
403	249	367
404	249	367
405	250	366
406	250	365
407	251	364
408	251	363
409	252	362
410	252	362
411	253	361
412	253	360
413	254	359
414	254	359
415	255	358
416	255	357
417	256	356
418	256	356
419	257	355
420	257	354
421	258	353
422	258	353
423	259	352
424	259	351
425	260	350
426	260	350
427	261	349
428	261	348
429	262	347
430	262	346
431	263	345
432	263	345
433	263	344
434	264	343
435	264	342
436	265	341
437	265	340
438	266	340
439	266	339
440	266	338
441	267	337
442	267	336
443	268	336
444	268	335
445	269	334
446	269	333
447	270	333
448	270	332
449	271	331
450	271	330
451	272	329
452	272	328
453	272	328
454	273	327
455	273	326
456	274	325
457	274	324
458	274	324
459	275	323
460	275	322
461	276	321
462	276	321
463	277	320
464	277	319
465	278	318
466	278	318
467	279	317
468	279	316
469	280	316
470	280	315
471	281	314
472	281	313
473	282	313
474	282	312
475	283	311
476	283	311
477	284	310
478	284	309
479	285	308
480	285	308
481	286	307
482	286	306
483	287	306
484	287	305
485	288	304
486	288	303
487	288	303
488	289	302
489	289	301
490	290	301
491	290	300
492	291	299
493	291	298
494	292	298
495	292	297
496	292	296
497	293	295
498	293	294
499	294	294
500	294	293
501	295	292
502	295	292
503	296	291
504	296	290
505	297	290
506	297	289
507	298	288
508	298	287
509	298	287
510	299	286
511	299	285
512	300	285
513	300	284
514	301	283
515	302	283
516	302	282
517	303	282
518	303	281
519	304	280
520	304	280
521	304	279
522	305	278
523	305	277
524	306	277
525	306	276
526	307	276
527	307	275
528	308	274
529	308	273
530	309	273
531	309	272
532	310	271
533	310	271
534	311	270
535	311	269
536	312	269
537	312	268
538	313	267
539	313	267
540	314	266
541	314	265
542	315	265
543	315	264
544	316	263
545	316	263
546	316	262
547	317	261
548	317	261
549	318	260
550	318	259
551	319	259
552	319	258
553	320	257
554	320	257
555	321	256
556	321	255
557	321	255
558	322	254
559	322	253
560	323	253
561	323	252
562	324	251
563	324	251
564	325	250
565	325	249
566	326	249
567	326	248
568	327	248
569	327	247
570	328	246
571	328	246
572	329	245
573	329	244
574	330	244
575	331	243
576	331	243
577	332	242
578	332	242
579	333	241
580	333	240
581	334	239
582	334	239
583	335	238
584	335	238
585	336	237
586	336	237
587	337	236
588	337	235
589	338	235
590	338	234
591	339	233
592	339	233
593	340	232
594	340	231
595	341	231
596	341	230
597	341	229
598	342	229
599	343	228
600	343	228
601	344	227
602	344	226
603	344	226
604	345	225
605	345	224
606	346	224
607	346	223
608	347	222
609	347	222
610	348	221
611	348	221
612	349	220
613	349	219
614	350	219
615	350	218
616	351	217
617	351	217
618	351	216
619	352	216
620	352	215
621	353	214
622	353	214
623	354	213
624	354	212
625	354	212
626	355	211
627	355	210
628	356	210
629	356	209
630	357	208
631	357	208
632	358	207
633	358	207
634	359	206
635	359	205
636	360	205
637	360	204
638	361	203
639	361	203
640	361	202
641	362	201
642	362	201
643	363	200
644	363	199
645	363	199
646	364	198
647	364	198
648	365	197
649	365	196
650	366	196
651	366	195
652	367	195
653	367	194
654	368	194
655	368	193
656	369	192
657	369	192
658	370	191
659	371	191
660	371	190
661	371	189
662	372	189
663	372	188
664	373	187
665	373	187
666	373	186
667	374	186
668	374	185
669	375	184
670	375	184
671	376	183
672	376	183
673	377	182
674	377	181
675	378	181
676	378	180
677	379	180
678	379	179
679	380	178
680	380	178
681	380	177
682	381	177
683	381	176
684	382	175
685	382	175
686	383	174
687	383	174
688	384	173
689	384	172
690	384	172
691	385	171
692	385	170
693	386	170
694	386	169
695	386	169
696	387	168
697	387	167
698	388	167
699	388	166
700	388	165
701	389	165
702	389	164
703	390	163
704	390	163
705	390	162
706	391	162
707	391	161
708	391	160
709	392	160
710	392	159
711	392	158
712	393	158
713	393	157
714	393	156
715	394	156
716	394	155
717	395	155
718	395	154
719	396	154
720	396	153
721	397	152
722	397	152
723	398	151
724	398	151
725	399	150
726	399	150
727	400	149
728	400	148
729	400	148
730	401	147
731	401	147
732	402	146
733	402	145
734	403	145
735	403	144
736	404	144
737	404	143
738	405	143
739	405	142
740	406	141
741	406	141
742	406	140
743	406	140
744	407	139
745	407	138
746	408	138
747	408	137
748	408	136
749	409	136
750	409	135
751	409	135
752	410	134
753	410	133
754	410	133
755	411	132
756	411	132
757	411	131
758	412	131
759	413	130
760	413	129
761	414	129
762	414	128
763	415	128
764	415	127
765	416	127
766	416	126
767	416	125
768	417	125
769	417	124
770	418	124
771	418	123
772	418	123
773	419	122
774	419	121
775	420	121
776	420	120
777	421	120
778	422	119
779	422	119
780	423	118
781	423	118
782	423	117
783	424	116
784	424	116
785	424	115
786	425	115
787	425	114
788	425	113
789	426	113
790	426	112
791	427	112
792	427	111
793	427	111
794	428	110
795	429	109
796	429	109
797	430	108
798	430	108
799	431	107
800	431	107
801	431	106
802	432	106
803	432	105
804	433	104
805	433	104
806	434	103
807	434	103
808	435	102
809	436	102
810	436	101
811	437	101
812	437	100
813	437	100
814	438	99
815	438	98
816	439	98
817	440	97
818	440	97
819	441	96
820	441	96
821	442	95
822	442	95
823	443	94
824	443	94
825	444	93
826	444	93
827	445	92
828	445	91
829	445	91
830	446	90
831	446	90
832	447	89
833	447	89
834	448	88
835	448	88
836	449	87
837	449	86
838	450	86
839	450	85
840	451	85
841	451	84
842	452	84
843	452	83
844	453	83
845	453	82
846	454	82
847	454	81
848	455	80
849	455	80
850	456	79
851	456	79
852	457	78
853	457	78
854	458	77
855	458	77
856	459	76
857	459	76
858	460	75
859	460	74
860	461	74
861	461	73
862	462	73
863	462	72
864	463	72
865	463	71
866	464	71
867	464	70
868	465	70
869	465	69
870	466	69
871	467	68
872	467	68
873	468	67
874	468	66
875	469	66
876	469	65
877	469	65
878	470	64
879	470	64
880	471	63
881	471	63
882	471	62
883	472	61
884	472	61
885	472	60
886	473	60
887	473	59
888	473	59
889	474	58
890	474	58
891	474	57
892	475	56
893	475	56
894	476	55
895	476	55
896	476	54
897	477	54
898	477	53
899	477	53
900	478	52
901	478	52
902	479	51
903	479	50
904	479	50
905	480	49
906	480	49
