iter	Passed	Remaining
0	57	57850
1	58	29227
2	59	19620
3	59	14812
4	59	11919
5	60	10003
6	60	8628
7	61	7602
8	61	6792
9	62	6159
10	62	5632
11	63	5197
12	63	4845
13	64	4520
14	64	4245
15	65	4015
16	65	3804
17	66	3609
18	66	3450
19	67	3293
20	67	3150
21	68	3024
22	68	2912
23	69	2812
24	69	2713
25	70	2622
26	70	2544
27	70	2463
28	71	2395
29	71	2326
30	72	2259
31	72	2202
32	73	2143
33	73	2089
34	74	2042
35	74	2002
36	75	1956
37	75	1912
38	75	1870
39	76	1832
40	76	1798
41	77	1770
42	77	1730
43	78	1695
44	78	1671
45	79	1643
46	79	1613
47	80	1589
48	80	1562
49	81	1539
50	81	1518
51	82	1496
52	82	1473
53	82	1453
54	83	1433
55	83	1413
56	84	1396
57	84	1378
58	85	1359
59	85	1345
60	86	1329
61	86	1312
62	87	1298
63	87	1281
64	87	1265
65	88	1250
66	88	1236
67	89	1221
68	89	1208
69	90	1196
70	90	1184
71	90	1171
72	91	1158
73	91	1145
74	92	1135
75	92	1124
76	92	1113
77	93	1102
78	93	1090
79	94	1081
80	94	1072
81	94	1062
82	95	1053
83	96	1047
84	96	1039
85	97	1031
86	97	1022
87	97	1013
88	98	1005
89	98	999
90	99	993
91	100	987
92	100	984
93	101	977
94	102	971
95	103	971
96	103	965
97	104	958
98	104	951
99	105	945
100	105	937
101	105	932
102	106	926
103	107	921
104	107	916
105	107	910
106	108	905
107	108	899
108	109	894
109	109	889
110	110	883
111	110	878
112	111	874
113	111	869
114	112	864
115	112	860
116	113	856
117	113	850
118	114	845
119	114	841
120	115	837
121	115	833
122	116	828
123	116	824
124	117	820
125	117	815
126	118	812
127	118	807
128	119	804
129	119	800
130	119	795
131	120	791
132	120	788
133	121	784
134	122	783
135	122	779
136	123	775
137	123	770
138	123	766
139	124	762
140	124	758
141	124	754
142	125	750
143	125	746
144	125	741
145	126	737
146	126	733
147	126	729
148	127	726
149	127	723
150	128	719
151	128	717
152	129	714
153	129	711
154	130	708
155	130	706
156	131	703
157	131	701
158	132	699
159	132	695
160	133	693
161	133	691
162	133	688
163	134	685
164	134	682
165	135	679
166	135	677
167	136	674
168	136	672
169	137	669
170	137	667
171	138	665
172	138	662
173	139	660
174	139	658
175	140	656
176	140	653
177	140	650
178	141	648
179	141	646
180	142	644
181	142	641
182	143	639
183	143	636
184	144	635
185	144	633
186	145	631
187	145	629
188	146	627
189	146	624
190	146	622
191	147	620
192	147	618
193	148	616
194	148	614
195	149	612
196	149	609
197	150	607
198	150	606
199	150	603
200	151	601
201	151	599
202	152	597
203	152	595
204	153	593
205	153	591
206	154	590
207	154	588
208	155	586
209	155	584
210	155	583
211	156	581
212	156	578
213	157	577
214	157	575
215	157	573
216	158	571
217	159	571
218	159	569
219	160	568
220	160	566
221	161	564
222	161	562
223	162	562
224	162	560
225	163	559
226	163	557
227	164	556
228	164	554
229	165	553
230	165	552
231	166	550
232	166	549
233	167	547
234	167	545
235	168	543
236	168	542
237	169	541
238	169	539
239	169	538
240	170	536
241	170	535
242	171	533
243	171	531
244	172	530
245	172	529
246	173	527
247	173	526
248	174	524
249	174	523
250	174	521
251	175	520
252	175	519
253	176	517
254	176	515
255	177	514
256	177	513
257	177	511
258	178	510
259	178	508
260	179	506
261	179	505
262	179	504
263	180	502
264	180	501
265	181	500
266	181	499
267	182	498
268	182	496
269	183	495
270	183	493
271	183	492
272	184	491
273	185	490
274	185	489
275	186	488
276	186	486
277	186	485
278	187	484
279	187	483
280	188	481
281	188	480
282	189	479
283	189	477
284	189	476
285	190	475
286	190	474
287	191	473
288	191	471
289	192	470
290	192	469
291	193	468
292	193	467
293	194	466
294	194	464
295	194	463
296	195	462
297	195	461
298	196	459
299	196	458
300	196	457
301	197	455
302	197	454
303	197	453
304	198	451
305	198	450
306	199	449
307	199	448
308	199	446
309	200	445
310	200	444
311	201	443
312	201	442
313	201	440
314	202	439
315	202	438
316	203	437
317	203	436
318	203	435
319	204	434
320	204	433
321	205	432
322	205	431
323	206	430
324	206	428
325	206	427
326	207	426
327	207	425
328	208	424
329	208	423
330	208	421
331	209	420
332	209	419
333	209	418
334	210	417
335	210	416
336	211	415
337	211	414
338	212	414
339	212	413
340	213	411
341	213	411
342	214	410
343	214	409
344	214	408
345	215	407
346	215	406
347	216	405
348	216	404
349	217	403
350	217	402
351	217	401
352	218	400
353	218	399
354	219	398
355	219	397
356	219	396
357	220	395
358	220	394
359	221	393
360	221	392
361	221	391
362	222	390
363	222	389
364	223	388
365	223	387
366	223	386
367	224	385
368	224	384
369	225	383
370	225	382
371	225	381
372	226	380
373	226	379
374	227	378
375	227	378
376	228	377
377	228	376
378	229	375
379	229	375
380	230	374
381	231	373
382	231	372
383	231	372
384	232	371
385	232	370
386	233	369
387	233	368
388	234	367
389	234	366
390	234	365
391	235	364
392	235	363
393	236	363
394	236	362
395	236	361
396	237	360
397	237	359
398	238	359
399	238	358
400	239	357
401	239	356
402	240	355
403	240	354
404	240	353
405	241	352
406	241	352
407	242	351
408	242	350
409	242	349
410	243	348
411	243	347
412	244	346
413	244	345
414	244	345
415	245	344
416	245	343
417	246	342
418	246	342
419	247	341
420	248	341
421	248	340
422	248	339
423	249	338
424	249	337
425	250	336
426	250	335
427	251	335
428	251	334
429	251	333
430	252	333
431	252	332
432	253	331
433	253	330
434	253	329
435	254	328
436	254	327
437	255	327
438	255	326
439	255	325
440	256	324
441	256	324
442	257	323
443	257	322
444	257	321
445	258	320
446	258	320
447	259	319
448	259	318
449	259	317
450	260	317
451	260	316
452	261	315
453	261	314
454	262	314
455	262	313
456	263	312
457	263	311
458	264	311
459	264	310
460	264	309
461	265	308
462	265	308
463	266	307
464	266	306
465	267	306
466	267	305
467	268	304
468	268	304
469	268	303
470	269	302
471	269	301
472	270	301
473	270	300
474	271	299
475	271	299
476	272	298
477	272	297
478	272	296
479	273	296
480	273	295
481	274	294
482	274	293
483	275	293
484	275	292
485	276	292
486	276	291
487	276	290
488	277	290
489	277	289
490	278	288
491	278	287
492	279	287
493	279	286
494	280	285
495	280	284
496	281	284
497	281	284
498	282	283
499	282	282
500	283	281
501	283	281
502	283	280
503	284	279
504	284	278
505	285	278
506	285	277
507	285	276
508	286	276
509	286	275
510	287	275
511	288	274
512	288	273
513	288	273
514	289	272
515	289	271
516	290	271
517	290	270
518	291	269
519	291	269
520	292	268
521	292	267
522	293	267
523	293	266
524	293	265
525	294	265
526	294	264
527	295	263
528	295	263
529	296	262
530	296	262
531	297	261
532	297	260
533	298	260
534	298	259
535	298	258
536	299	258
537	299	257
538	300	256
539	300	256
540	301	255
541	301	254
542	302	254
543	302	253
544	303	253
545	303	252
546	303	251
547	304	251
548	304	250
549	305	249
550	305	249
551	306	248
552	306	247
553	307	247
554	307	246
555	308	245
556	308	245
557	309	244
558	309	244
559	309	243
560	310	242
561	310	242
562	311	241
563	311	240
564	311	239
565	311	239
566	312	238
567	312	237
568	312	236
569	312	235
570	313	235
571	313	234
572	313	233
573	313	232
574	314	232
575	314	231
576	314	230
577	314	229
578	315	229
579	315	228
580	316	227
581	316	227
582	317	226
583	317	226
584	318	225
585	318	225
586	319	224
587	319	223
588	320	223
589	320	222
590	321	222
591	321	221
592	321	220
593	322	220
594	322	219
595	323	219
596	323	218
597	323	217
598	324	216
599	324	216
600	324	215
601	325	215
602	325	214
603	326	213
604	326	213
605	326	212
606	326	211
607	327	210
608	327	210
609	327	209
610	328	208
611	328	208
612	328	207
613	329	206
614	329	206
615	330	205
616	330	205
617	331	204
618	331	204
619	332	203
620	332	202
621	333	202
622	333	201
623	333	201
624	334	200
625	334	199
626	334	199
627	335	198
628	335	197
629	335	197
630	336	196
631	336	195
632	336	195
633	337	194
634	337	194
635	338	193
636	338	192
637	338	192
638	338	191
639	339	190
640	339	190
641	340	189
642	340	188
643	340	188
644	341	187
645	341	187
646	341	186
647	342	185
648	342	185
649	342	184
650	343	183
651	343	183
652	343	182
653	344	182
654	344	181
655	344	180
656	345	180
657	345	179
658	345	178
659	346	178
660	346	177
661	346	177
662	347	176
663	347	175
664	347	175
665	348	174
666	348	173
667	348	173
668	349	172
669	349	172
670	349	171
671	350	170
672	350	170
673	350	169
674	351	169
675	351	168
676	351	167
677	352	167
678	352	166
679	353	166
680	353	165
681	354	165
682	354	164
683	354	164
684	355	163
685	355	162
686	356	162
687	356	161
688	357	161
689	357	160
690	357	159
691	358	159
692	358	158
693	359	158
694	359	157
695	359	157
696	360	156
697	360	155
698	360	155
699	361	154
700	361	154
701	362	153
702	362	153
703	362	152
704	363	151
705	363	151
706	364	150
707	364	150
708	365	150
709	366	149
710	366	148
711	367	148
712	367	147
713	367	147
714	368	146
715	368	146
716	369	145
717	369	145
718	370	144
719	370	144
720	370	143
721	371	142
722	371	142
723	372	141
724	372	141
725	372	140
726	373	140
727	373	139
728	373	139
729	374	138
730	374	137
731	375	137
732	375	136
733	375	136
734	376	135
735	376	135
736	377	134
737	377	134
738	378	133
739	378	133
740	379	132
741	379	131
742	379	131
743	380	130
744	380	130
745	381	129
746	381	129
747	381	128
748	382	128
749	382	127
750	383	127
751	383	126
752	383	125
753	384	125
754	384	124
755	385	124
756	385	123
757	385	123
758	386	122
759	386	122
760	387	121
761	387	121
762	388	120
763	389	120
764	389	119
765	390	119
766	390	118
767	390	118
768	391	117
769	391	117
770	392	116
771	392	115
772	393	115
773	393	114
774	393	114
775	394	113
776	394	113
777	394	112
778	395	112
779	395	111
780	396	111
781	396	110
782	396	109
783	397	109
784	397	108
785	398	108
786	398	107
787	398	107
788	399	106
789	399	106
790	400	105
791	400	105
792	400	104
793	401	104
794	401	103
795	401	103
796	402	102
797	402	101
798	403	101
799	403	100
800	403	100
801	404	99
802	404	99
803	404	98
804	405	98
805	406	97
806	406	97
807	406	96
808	407	96
809	407	95
810	408	95
811	408	94
812	408	94
813	409	93
814	409	93
815	410	92
816	410	91
817	410	91
818	411	90
819	411	90
820	412	89
821	412	89
822	413	88
823	413	88
824	414	87
825	414	87
826	415	86
827	415	86
828	416	85
829	416	85
830	417	84
831	417	84
832	418	83
833	418	83
834	418	82
835	419	82
836	419	81
837	419	81
838	420	80
839	421	80
840	421	79
841	421	79
842	422	78
843	422	78
844	422	77
845	423	77
846	423	76
847	424	76
848	424	75
849	424	74
850	425	74
851	425	73
852	426	73
853	426	72
854	427	72
855	427	71
856	427	71
857	428	70
858	428	70
859	429	69
860	430	69
861	430	68
862	431	68
863	431	67
864	432	67
865	432	66
866	432	66
867	432	65
868	433	65
869	433	64
870	434	64
871	435	63
872	435	63
873	437	63
874	437	62
875	437	61
876	438	61
877	438	60
878	439	60
879	439	59
880	439	59
881	440	58
882	440	58
883	441	57
884	441	57
885	442	56
886	442	56
887	443	55
888	445	55
889	445	55
890	446	54
891	446	54
892	447	53
893	447	53
894	448	52
895	449	52
896	449	51
897	449	51
898	450	50
899	450	50
900	451	49
901	451	49
902	452	48
903	452	48
904	453	47
905	453	47
906	453	46
907	454	46
908	454	45
909	455	45
910	456	44
911	456	44
912	456	43
913	457	43
914	458	42
915	458	42
916	458	41
917	459	41
918	460	40
919	460	40
920	461	39
921	461	39
922	462	38
923	462	38
924	463	37
925	463	37
926	463	36
927	464	36
928	464	35
929	465	35
930	465	34
931	465	33
932	466	33
933	466	32
934	467	32
935	467	31
936	468	31
937	468	30
938	469	30
939	469	29
940	469	29
941	470	28
942	470	28
943	471	27
944	471	27
945	472	26
946	472	26
947	473	25
948	473	25
949	473	24
950	474	24
951	474	23
952	475	23
953	475	22
954	475	22
955	476	21
956	476	21
957	477	20
958	477	20
959	478	19
960	478	19
961	478	18
962	479	18
963	479	17
964	480	17
965	480	16
966	480	16
967	481	15
968	481	15
969	482	14
970	482	14
971	482	13
972	483	13
973	483	12
974	483	12
975	484	11
976	484	11
977	485	10
978	485	10
979	486	9
980	486	9
981	487	8
982	487	8
983	488	7
984	488	7
985	488	6
986	489	6
987	489	5
988	490	5
989	490	4
990	490	4
991	491	3
992	491	3
993	491	2
994	492	2
995	492	1
996	493	1
997	493	0
998	494	0
999	494	0
